format,height,width,mean,std,label
PNG,28,28,50.58418367346939,79.43570468256226,7
PNG,28,28,90.03698979591837,87.91203226788289,9
PNG,28,28,51.81377551020408,86.86084939242821,3
PNG,28,28,75.28954081632654,78.67852501647918,9
PNG,28,28,53.77040816326531,52.976658720809844,2
PNG,28,28,68.15306122448979,50.35873392437144,2
PNG,28,28,99.94005102040816,96.84054971645479,2
PNG,28,28,12.00765306122449,38.58138023210584,5
PNG,28,28,38.52168367346939,64.66834177383465,1
PNG,28,28,53.46045918367347,90.75020924130241,1
PNG,28,28,37.50637755102041,63.32365405919399,5
PNG,28,28,94.65688775510205,101.94107631025642,4
PNG,28,28,68.85969387755102,81.3784664637269,0
PNG,28,28,43.817602040816325,71.76891165375213,1
PNG,28,28,34.50255102040816,39.160026130654195,0
PNG,28,28,19.946428571428573,48.12433076661632,5
PNG,28,28,101.25765306122449,110.51359664526112,0
PNG,28,28,86.14795918367346,87.30188093164095,8
PNG,28,28,80.76530612244898,98.35320575379913,9
PNG,28,28,93.27551020408163,96.57868269587397,8
PNG,28,28,46.22831632653061,80.17621004618094,7
PNG,28,28,45.95918367346939,86.64021234537678,3
PNG,28,28,109.73724489795919,105.10558268130555,8
PNG,28,28,118.69515306122449,80.12167199607082,8
PNG,28,28,31.4375,54.843061547222625,7
PNG,28,28,110.32397959183673,89.0761806297925,6
PNG,28,28,115.68239795918367,112.44876337268325,0
PNG,28,28,92.99617346938776,93.42315807630087,4
PNG,28,28,46.10331632653061,73.09857259572577,5
PNG,28,28,124.38392857142857,92.13899104223256,2
PNG,28,28,80.8686224489796,97.05685181808158,9
PNG,28,28,38.357142857142854,57.21858820990513,8
PNG,28,28,30.399234693877553,66.9615146049566,7
PNG,28,28,50.24744897959184,93.81968155218563,3
PNG,28,28,90.8545918367347,105.74508132207849,8
PNG,28,28,46.99107142857143,60.115205484841304,3
PNG,28,28,54.048469387755105,76.95161611133987,9
PNG,28,28,105.71811224489795,100.2824118224436,8
PNG,28,28,56.06377551020408,85.93037353549445,1
PNG,28,28,63.85586734693877,97.28012041429193,1
PNG,28,28,46.50255102040816,77.50159638660283,5
PNG,28,28,40.547193877551024,73.75004543259178,1
PNG,28,28,103.57525510204081,107.9166909880602,0
PNG,28,28,114.42602040816327,95.05172939885875,4
PNG,28,28,96.14158163265306,95.79537665949842,0
PNG,28,28,32.641581632653065,37.22200160685729,0
PNG,28,28,48.29081632653061,51.604061868950076,2
PNG,28,28,124.24872448979592,101.8577220150115,8
PNG,28,28,62.785714285714285,61.497843001828535,6
PNG,28,28,79.7015306122449,68.57492697700906,6
PNG,28,28,69.4438775510204,65.86850624977647,6
PNG,28,28,47.9655612244898,86.02180008277521,7
PNG,28,28,91.40051020408163,107.37543946238215,3
PNG,28,28,107.94770408163265,103.71747618978075,2
PNG,28,28,33.08163265306123,65.14219900503817,7
PNG,28,28,122.22448979591837,104.5513525432227,0
PNG,28,28,60.13265306122449,61.45832132680004,0
PNG,28,28,60.705357142857146,88.10562232676604,9
PNG,28,28,50.53954081632653,86.08457793921524,7
PNG,28,28,94.5688775510204,84.3053267179828,4
PNG,28,28,82.125,73.07544108170484,2
PNG,28,28,57.286989795918366,84.72401494432148,1
PNG,28,28,35.422193877551024,62.45048297458019,0
PNG,28,28,65.88265306122449,76.04546173246713,4
PNG,28,28,32.7155612244898,53.89934839910676,1
PNG,28,28,61.70918367346939,97.95509757102965,1
PNG,28,28,85.27295918367346,78.73552334328636,4
PNG,28,28,111.01020408163265,93.65544155366207,4
PNG,28,28,76.0140306122449,101.81854636938485,9
PNG,28,28,36.746173469387756,40.16290946361024,2
PNG,28,28,99.89795918367346,107.91694083082622,6
PNG,28,28,53.94005102040816,64.60462743265131,3
PNG,28,28,54.19770408163265,82.60040547433576,9
PNG,28,28,37.63520408163265,49.928746019101894,6
PNG,28,28,46.12627551020408,66.40028678483074,7
PNG,28,28,111.58673469387755,113.32570059729782,9
PNG,28,28,56.734693877551024,82.21607619006129,7
PNG,28,28,55.6530612244898,87.00416094211327,3
PNG,28,28,67.08673469387755,68.96538711520454,9
PNG,28,28,33.201530612244895,63.62373608627203,7
PNG,28,28,57.391581632653065,89.56677750825204,5
PNG,28,28,37.984693877551024,63.36750817456236,5
PNG,28,28,71.9375,105.72654331385728,1
PNG,28,28,75.07397959183673,67.31160130228024,4
PNG,28,28,53.76020408163265,79.94356203073787,1
PNG,28,28,116.71045918367346,84.03044936936682,0
PNG,28,28,101.84311224489795,66.46997272443701,4
PNG,28,28,41.18494897959184,62.42945184077988,8
PNG,28,28,49.75892857142857,86.83546073873958,7
PNG,28,28,80.99617346938776,90.02075291145603,9
PNG,28,28,59.77168367346939,91.95769138200514,3
PNG,28,28,108.79591836734694,88.85377912600526,4
PNG,28,28,65.57780612244898,94.49315150264164,1
PNG,28,28,78.74872448979592,81.54565125234448,0
PNG,28,28,112.63010204081633,109.18334800518915,0
PNG,28,28,33.28826530612245,59.375285735518865,5
PNG,28,28,126.42602040816327,113.49724502850634,2
PNG,28,28,114.98979591836735,97.6038034448306,2
PNG,28,28,94.1875,109.31495545718867,3
PNG,28,28,118.62244897959184,95.98914589002435,8
PNG,28,28,82.63010204081633,77.03958637854531,2
PNG,28,28,85.16198979591837,100.6386140954908,3
PNG,28,28,21.79591836734694,38.9974709236678,6
PNG,28,28,37.94897959183673,64.99146293214831,7
PNG,28,28,108.03061224489795,90.43900346976822,8
PNG,28,28,92.0829081632653,83.88167086955956,2
PNG,28,28,38.28316326530612,80.07717210313166,7
PNG,28,28,38.47066326530612,77.49864486352344,7
PNG,28,28,69.81505102040816,44.511838920438116,6
PNG,28,28,66.375,58.838174713118256,6
PNG,28,28,102.92091836734694,109.2629592144541,3
PNG,28,28,111.8545918367347,91.97301223138794,2
PNG,28,28,85.46428571428571,89.21000361449359,0
PNG,28,28,105.26530612244898,102.00353145351352,1
PNG,28,28,88.39158163265306,75.09722256711201,4
PNG,28,28,75.66454081632654,102.62768785310747,4
PNG,28,28,45.16454081632653,80.7629260381156,7
PNG,28,28,95.75255102040816,96.1147273305128,2
PNG,28,28,100.46301020408163,69.3373788164995,6
PNG,28,28,41.36479591836735,70.35645094263968,3
PNG,28,28,84.5829081632653,102.89190019742304,3
PNG,28,28,108.54336734693878,84.93497306696143,4
PNG,28,28,65.48086734693878,99.49865213558789,1
PNG,28,28,105.09311224489795,108.63833818679022,0
PNG,28,28,44.89668367346939,70.74671542979235,1
PNG,28,28,54.640306122448976,83.80521760526294,1
PNG,28,28,66.45663265306122,79.23897049939399,8
PNG,28,28,50.996173469387756,85.80934452497958,7
PNG,28,28,52.536989795918366,88.97267213508336,7
PNG,28,28,45.057397959183675,57.35243283778864,8
PNG,28,28,119.41198979591837,105.77337831574836,0
PNG,28,28,55.44897959183673,83.62719414759522,7
PNG,28,28,33.30357142857143,61.69462474104835,5
PNG,28,28,41.942602040816325,52.077679630321114,0
PNG,28,28,103.76020408163265,103.55089031810705,0
PNG,28,28,54.47831632653061,85.94762607412429,5
PNG,28,28,147.56887755102042,101.57138010228553,2
PNG,28,28,19.81377551020408,35.78690494213434,7
PNG,28,28,26.054846938775512,61.71681378731573,7
PNG,28,28,84.23341836734694,87.87674203892627,8
PNG,28,28,32.69387755102041,60.87091697965614,5
PNG,28,28,27.460459183673468,56.80851714485526,5
PNG,28,28,29.676020408163264,72.6543545928646,5
PNG,28,28,63.04974489795919,86.56103382276308,1
PNG,28,28,92.23469387755102,87.79882513048818,2
PNG,28,28,49.857142857142854,87.85502320323418,7
PNG,28,28,108.34311224489795,104.94673517059496,2
PNG,28,28,131.81760204081633,108.1002163827848,2
PNG,28,28,73.875,105.57172910985639,3
PNG,28,28,55.224489795918366,74.92561353445964,3
PNG,28,28,53.38392857142857,51.498036388907735,6
PNG,28,28,86.53061224489795,96.52092974695692,3
PNG,28,28,108.86224489795919,96.38307870298891,8
PNG,28,28,81.63775510204081,108.03902074308013,3
PNG,28,28,77.51785714285714,63.334709247048444,6
PNG,28,28,72.07142857142857,83.09086494154874,6
PNG,28,28,47.22576530612245,77.63849573389781,5
PNG,28,28,57.87372448979592,88.03740579890825,1
PNG,28,28,89.44132653061224,108.32227815726132,0
PNG,28,28,82.40688775510205,95.09436239168586,1
PNG,28,28,52.765306122448976,62.40403669903783,4
PNG,28,28,27.271683673469386,59.698852364981484,5
PNG,28,28,68.79336734693878,65.22332637137337,0
PNG,28,28,60.911989795918366,92.83496251094229,3
PNG,28,28,90.625,107.65854320963297,3
PNG,28,28,87.12627551020408,104.27452544383186,9
PNG,28,28,95.33545918367346,101.29275850878858,9
PNG,28,28,79.68877551020408,70.81976315692297,6
PNG,28,28,122.51147959183673,102.68283777896588,6
PNG,28,28,109.59311224489795,116.81024863963225,9
PNG,28,28,106.05357142857143,91.97494217038083,4
PNG,28,28,41.045918367346935,68.76748707971407,1
PNG,28,28,86.36989795918367,102.25200667653101,0
PNG,28,28,55.173469387755105,77.16494730151108,5
PNG,28,28,50.86862244897959,71.21607201614307,0
PNG,28,28,129.89158163265307,108.78089394886753,4
PNG,28,28,63.0905612244898,88.60407355017617,1
PNG,28,28,55.59183673469388,86.82679353873573,1
PNG,28,28,36.39795918367347,60.51614555956195,1
PNG,28,28,39.473214285714285,65.21519946844587,1
PNG,28,28,72.64285714285714,78.33741124137305,9
PNG,28,28,58.7780612244898,76.13221399963386,9
PNG,28,28,101.47193877551021,101.55631657881983,8
PNG,28,28,67.15943877551021,94.2204121136641,3
PNG,28,28,108.57780612244898,103.59655639657004,8
PNG,28,28,49.38392857142857,48.38065789172067,6
PNG,28,28,38.02040816326531,59.19234982144587,6
PNG,28,28,134.4591836734694,108.44708983283581,2
PNG,28,28,82.9234693877551,75.34269841391321,2
PNG,28,28,30.491071428571427,55.065011872563055,7
PNG,28,28,99.03316326530613,97.69417567809417,0
PNG,28,28,20.274234693877553,53.35523088395001,5
PNG,28,28,139.47066326530611,96.42358006430389,2
PNG,28,28,44.27040816326531,81.15991610065929,7
PNG,28,28,81.40433673469387,82.02742530154714,9
PNG,28,28,102.52551020408163,105.44215389784696,4
PNG,28,28,61.829081632653065,96.23102182987515,1
PNG,28,28,100.18622448979592,95.1291469853151,4
PNG,28,28,107.21811224489795,100.39096851660356,2
PNG,28,28,75.90306122448979,105.38090913935535,3
PNG,28,28,89.40433673469387,106.31044994217181,3
